Datum,Tid (UTC),Nederbörd,Kvalitet
2022-11-23,06:00:00,snöblandat regn,Y
2022-11-23,18:00:00,regn,Y
2022-11-26,06:00:00,regn,Y
2022-11-26,18:00:00,duggregn,Y
2022-11-29,06:00:00,regn,Y
2022-11-29,18:00:00,regn,Y
2022-11-30,06:00:00,regn,Y
2022-12-01,18:00:00,regn,Y
2022-12-02,06:00:00,regn,Y
2022-12-02,18:00:00,regn,Y
2022-12-09,06:00:00,snowfall,Y
2022-12-09,18:00:00,snowfall,Y
2022-12-10,06:00:00,snowfall,Y
2022-12-11,06:00:00,snowfall,Y
2022-12-12,06:00:00,snowfall,Y
2022-12-13,06:00:00,regnskurar,Y
2022-12-14,06:00:00,snowfall,Y
2022-12-14,18:00:00,snowfall,Y
2022-12-15,06:00:00,snowfall,Y
2022-12-18,06:00:00,snöbyar,Y
2022-12-19,06:00:00,snöblandat regn,Y
2022-12-19,18:00:00,snöblandat regn,Y
2022-12-20,06:00:00,snöblandat regn,Y
2022-12-20,18:00:00,regn,Y
2022-12-21,06:00:00,regn,Y
2022-12-22,06:00:00,regn,Y
2022-12-22,18:00:00,regn,Y
2022-12-23,06:00:00,snöblandat regn,Y
2022-12-24,06:00:00,snowfall,Y
2022-12-26,18:00:00,duggregn,Y
2022-12-27,06:00:00,regn,Y
2022-12-28,18:00:00,snöblandat regn,Y
2022-12-29,06:00:00,duggregn,Y
2022-12-29,18:00:00,regn,Y
2022-12-31,06:00:00,regn,Y
2023-01-02,06:00:00,regn,Y
2023-01-02,18:00:00,regn,Y
2023-01-03,06:00:00,regn,Y
2023-01-04,18:00:00,snowfall,Y
2023-01-05,06:00:00,snöbyar,Y
2023-01-05,18:00:00,snowfall,Y
2023-01-06,06:00:00,snowfall,Y
2023-01-06,18:00:00,snowfall,Y
2023-01-07,06:00:00,snowfall,Y
2023-01-07,18:00:00,snöblandat regn,Y
2023-01-08,06:00:00,regn,Y
2023-01-08,18:00:00,regn,Y
2023-01-10,06:00:00,regn,Y
2023-01-10,18:00:00,duggregn,Y
2023-01-11,18:00:00,regn,Y
2023-01-12,18:00:00,regn,Y
2023-01-13,18:00:00,regn,Y
2023-01-14,06:00:00,duggregn,Y
2023-01-14,18:00:00,regn,Y
2023-01-15,06:00:00,regn,Y
2023-01-15,18:00:00,regn,Y
2023-01-16,06:00:00,regn,Y
2023-01-17,18:00:00,regn,Y
2023-01-18,06:00:00,regnskurar,Y
2023-01-20,18:00:00,regn,Y
2023-01-21,18:00:00,kornsnö,Y
2023-01-25,06:00:00,regn,Y
2023-01-26,06:00:00,duggregn,Y
2023-01-26,18:00:00,regn,Y
2023-01-29,18:00:00,duggregn,Y
